Trader Registration;;;;;
;;;;;
Admin-visible notes (per user);Notes;"Multiline text; Alphanumeric and support for special characters and punctuation. Max 4000 chars. Supports line breaks. Optional.";;;
;;;;;
ListingsBids;;;;;
;;;;;
Function;Wastetrade field;Constraints;Salesforce field;Constraints;Salesforce API Key
Sales Listings;Listing ID;(system generated);WasteTrade Listing Id AND Sales Listing Name ;(string);WasteTrade_Listing_Id__c
;;;Sales Listing Link ;(url);Sales_Listing_Link__c
;Seller full name;Text, Mandatory;WasteTrade User Id ;(string);It just references WasteTrade_User_Id__c - Probably needs to also reference the SF Account/Contact
;Seller company;Text, Mandatory;;;N/A 
"Seller info obtained in 6.4.3.2 Create a listing (sell material)
";Seller location (Warehouse);Dropdown: Options prefilled from My Locations, and “Other” free text option, Max Length: 100 characters, Mandatory;WasteTrade Site Id OR Material Location ;(string);Material_Location__c - Needs to reference a site
;Featured image;"Input Type: File Upload; Constraints: Image files - jpeg, png; Max file size 25 MB, Max files set to 1; Mandatory";Sales Listing Featured Image Link ;(url);Sales_Listing_Featured_Image_Link__c
;Gallery Images;"Input Type: File Upload; Constraints: Image files - jpeg, png; Max file size 25 MB, Max files set to min 3; Mandatory";Not on SF;;
;Technical Data Sheet ( Specification Data);"Input Type: File Upload; Constraints: Image files - jpeg, png, pdf; Max file size 25 MB, Max files set to min 1; Mandatory";;;
;Material name;"Material dropdown selections shown as one material name; Material type/Item/Form/Grading/Colour/Finishing. N/A selections excluded from the name. Mandatory";Material Group (string) AND Material Type (string) and Material (picklist);;Name
;Material must remain in country of Origin;Radio (Boolean);Not on SF;;
;Packing;Dropdown: Bags, Bales, Boxes, Bulk Bags, Loose, Octabins/Gaylords, Pallets, Mandatory;Packaging Type ;(picklist);Packaging_Type__c
;How is the waste stored?;Dropdown : Indoor/Outdoor/Both/Any, Mandatory;Storage Type ;(picklist);Storage_Type__c
;Weight;Numeric input, Mandatory, Min >3;Material Weight (MT) ;(double);Material_Weight__c
;Number of loads;Numeric input, Mandatory, Min >1 ;Numer of Loads;(double);Number_of_Loads__c
;Currency;Dropdown: GBP / EUR / USD , Mandatory ;Indicated Price ;(currency);CurrencyIsoCode
;Material Availability;Datetime, Min = Today , Mandatory ;Available From Date ;(date);Available_From_Date__c
;Ongoing Listing;Input Type: Radio Button: Yes/No, Mandatory.;Not on SF;;
